City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tsabong,-26.02,22.4,70.5,23,0,4.54,BW,1602652677
Barrow,71.29,-156.79,26.6,53,20,14.99,US,1602652465
Bela,25.93,81.98,89.13,57,81,6.91,IN,1602652678
Arraial do Cabo,-22.97,-42.03,73.04,89,12,27.65,BR,1602652679
Avarua,-21.21,-159.78,71.6,49,71,3.36,CK,1602652434
Fortuna,40.6,-124.16,63.0,93,20,3.36,US,1602652679
Carnarvon,-24.87,113.63,75.2,64,40,14.99,AU,1602652510
Chui,-33.7,-53.46,50.99,96,0,1.99,UY,1602652680
Kingston,18.0,-76.79,80.6,83,20,3.36,JM,1602652680
Mataura,-46.19,168.86,44.01,76,48,11.99,NZ,1602652680
Rājpīpla,21.87,73.5,84.2,58,92,5.82,IN,1602652680
Rikitea,-23.12,-134.97,73.56,76,74,17.34,PF,1602652681
Udimskiy,61.14,45.91,42.87,90,100,9.71,RU,1602652681
Teguise,29.06,-13.56,68.0,82,20,4.7,ES,1602652681
Bluff,-46.6,168.33,44.01,76,78,11.99,NZ,1602652681
Jamestown,42.1,-79.24,46.0,81,1,4.7,US,1602652440
Sol'-Iletsk,51.16,54.99,54.61,35,21,6.98,RU,1602652682
Hasaki,35.73,140.83,72.0,60,75,9.17,JP,1602652682
Cidreira,-30.18,-50.21,58.6,84,0,2.37,BR,1602652683
Mahébourg,-20.41,57.7,78.8,69,40,8.05,MU,1602652683
Sorong,-0.88,131.25,83.98,73,89,2.77,ID,1602652683
Kapaa,22.08,-159.32,80.6,69,40,10.29,US,1602652683
Butaritari,3.07,172.79,82.51,74,69,17.18,KI,1602652683
Lubbock,33.6,-101.83,73.4,27,1,14.99,US,1602652684
Atuona,-9.8,-139.03,78.04,76,78,20.07,PF,1602652685
Dali,25.7,100.18,72.61,60,12,2.66,CN,1602652685
Laas,46.62,10.7,34.0,86,5,6.93,IT,1602652685
Ushuaia,-54.8,-68.3,35.6,93,90,12.75,AR,1602652685
Saint-Philippe,-21.36,55.77,80.01,65,75,4.7,RE,1602652686
Clyde River,70.47,-68.59,24.8,100,90,6.93,CA,1602652686
Codrington,-38.27,141.97,69.06,74,100,6.8,AU,1602652686
Aksu,41.12,80.26,61.9,29,0,6.06,CN,1602652389
Bredasdorp,-34.53,20.04,50.0,87,33,3.36,ZA,1602652687
Hithadhoo,-0.6,73.08,83.16,72,100,9.46,MV,1602652504
Manta,-0.95,-80.73,73.4,78,40,5.82,EC,1602652687
Lagoa,39.05,-27.98,68.34,79,98,14.9,PT,1602652687
Vaini,-21.2,-175.2,75.2,69,40,11.41,TO,1602652688
Sitka,57.05,-135.33,44.6,87,75,0.6,US,1602652658
Sibolga,1.74,98.78,86.97,56,100,4.88,ID,1602652688
Dossor,47.53,52.98,57.06,33,0,11.92,KZ,1602652689
Lebu,-37.62,-73.65,50.88,91,1,19.73,CL,1602652689
Cape Town,-33.93,18.42,60.01,76,0,1.12,ZA,1602652690
Pitimbu,-7.47,-34.81,73.4,88,20,4.7,BR,1602652690
Tawao,4.25,117.89,87.8,70,20,4.7,MY,1602652636
Vardø,70.37,31.11,33.8,74,75,10.29,NO,1602652690
Kattivākkam,13.22,80.32,87.8,52,40,11.41,IN,1602652580
Wau,7.7,28.0,72.95,89,93,3.44,SS,1602652691
Bilma,18.69,12.92,81.99,16,0,11.03,NE,1602652691
Beringovskiy,63.05,179.32,35.24,76,95,0.96,RU,1602652691
Paamiut,61.99,-49.67,37.45,92,100,6.58,GL,1602652691
Punta Arenas,-53.15,-70.92,39.2,75,75,40.26,CL,1602652692
Nadym,65.53,72.52,35.17,94,100,20.89,RU,1602652692
Talnakh,69.49,88.4,32.0,97,75,26.84,RU,1602652692
Fécamp,49.76,0.37,42.8,100,84,5.82,FR,1602652692
Alice Springs,-23.7,133.88,87.8,13,0,14.99,AU,1602652693
George Town,5.41,100.34,87.8,66,20,5.82,MY,1602652506
Alofi,-19.06,-169.92,75.2,64,30,19.46,NU,1602652694
Saint Paul Harbor,57.79,-152.41,44.6,81,90,6.93,US,1602652461
Lanxi,29.22,119.48,72.79,60,81,4.83,CN,1602652694
Khor,47.89,134.95,34.95,81,66,19.64,RU,1602652695
Miles City,46.41,-105.84,48.2,93,90,6.93,US,1602652695
Itoman,26.12,127.67,84.2,61,20,17.22,JP,1602652695
Porangatu,-13.44,-49.15,75.61,70,35,2.35,BR,1602652695
Hermanus,-34.42,19.23,54.0,79,64,7.0,ZA,1602652695
Airai,-8.93,125.41,80.26,40,28,6.98,TL,1602652696
Teya,60.38,92.63,33.1,90,100,10.27,RU,1602652696
Saquarema,-22.92,-42.51,70.92,91,5,12.28,BR,1602652697
Port Elizabeth,-33.92,25.57,57.2,71,75,4.7,ZA,1602652514
Bouloupari,-21.87,166.05,80.6,69,38,11.41,NC,1602652697
Morondava,-20.28,44.28,78.12,60,0,4.52,MG,1602652697
Gimli,50.63,-96.99,44.01,99,61,7.0,CA,1602652697
Padang,-0.95,100.35,85.77,59,100,4.27,ID,1602652631
Pacific Grove,36.62,-121.92,63.0,67,1,3.36,US,1602652698
Tres Arroyos,-38.37,-60.28,61.81,58,12,17.56,AR,1602652698
Albany,42.6,-73.97,52.0,74,24,1.99,US,1602652699
Bubaque,11.28,-15.83,81.52,81,34,17.25,GW,1602652699
Aquiraz,-3.9,-38.39,78.8,78,40,14.99,BR,1602652699
Kasempa,-13.46,25.83,64.63,88,67,9.17,ZM,1602652699
Ugoofaaru,5.67,73.0,83.75,75,42,22.12,MV,1602652700
Kiryat Gat,31.61,34.76,72.0,74,16,4.92,IL,1602652700
Touros,-5.2,-35.46,73.4,94,40,3.36,BR,1602652700
Havøysund,71.0,24.66,41.0,75,75,20.8,NO,1602652700
Tasiilaq,65.61,-37.64,37.4,93,99,11.41,GL,1602652701
New Norfolk,-42.78,147.06,66.99,44,94,3.0,AU,1602652701
Asău,46.43,26.4,43.0,80,37,4.74,RO,1602652701
Hobart,-42.88,147.33,66.99,45,75,16.11,AU,1602652502
Harper,4.38,-7.72,76.33,88,38,4.43,LR,1602652702
Sisimiut,66.94,-53.67,33.8,90,67,1.92,GL,1602652702
Nyagan,62.14,65.39,47.35,87,100,8.84,RU,1602652702
Bangolo,7.01,-7.47,67.98,99,35,1.9,CI,1602652703
Robertsport,6.75,-11.37,74.32,92,88,6.4,LR,1602652703
Kidodi,-7.6,37.0,77.18,72,19,2.1,TZ,1602652703
Monaco-Ville,43.73,7.42,54.0,71,75,8.05,FR,1602652694
Emporia,38.4,-96.18,57.2,50,1,6.93,US,1602652704
Umm Kaddadah,13.6,26.69,83.59,34,46,5.82,SD,1602652704
Broken Hill,-31.95,141.43,86.0,15,75,6.93,AU,1602652704
Bambous Virieux,-20.34,57.76,79.0,69,40,8.05,MU,1602652705
Katsuura,35.13,140.3,73.0,60,42,1.99,JP,1602652705
Lata,40.16,-8.33,55.4,82,20,17.22,PT,1602652705
Kharan,28.58,65.42,65.71,24,0,3.02,PK,1602652705
Isangel,-19.55,169.27,84.2,79,75,3.36,VU,1602652705
Rosário Oeste,-14.84,-56.43,80.82,51,31,3.83,BR,1602652706
Farafangana,-22.82,47.83,76.55,80,12,6.33,MG,1602652706
Port Macquarie,-31.43,152.92,73.99,49,0,11.41,AU,1602652450
Haapiti,-17.57,-149.87,80.6,65,20,11.41,PF,1602652707
Nikolskoye,59.7,30.79,43.0,100,34,2.55,RU,1602652707
Gunjur,13.2,-16.73,76.64,85,88,7.7,GM,1602652707
Ribeira Grande,38.52,-28.7,68.97,79,77,14.12,PT,1602652708
Shingū,33.73,135.98,77.0,57,20,12.75,JP,1602652708
Saint George,37.1,-113.58,66.2,16,1,0.81,US,1602652694
Bengkulu,-3.8,102.27,84.24,66,100,5.44,ID,1602652708
Voiron,45.36,5.59,46.0,100,90,1.74,FR,1602652708
Hilo,19.73,-155.09,78.8,65,1,4.7,US,1602652709
Maniwaki,46.38,-75.97,41.32,93,45,2.95,CA,1602652709
Busselton,-33.65,115.33,73.99,35,15,13.8,AU,1602652709
Dzhebariki-Khaya,62.22,135.8,27.63,94,100,4.99,RU,1602652709
Nabire,-3.37,135.48,86.76,62,98,5.46,ID,1602652710
Tuatapere,-46.13,167.68,44.01,76,75,11.99,NZ,1602652710
Finschhafen,-6.6,147.87,83.12,75,28,11.01,PG,1602652710
Castro,-24.79,-50.01,62.26,56,0,0.94,BR,1602652710
Bonavista,48.65,-53.11,39.99,89,0,3.0,CA,1602652711
Kimberley,-28.73,24.76,62.6,33,0,4.7,ZA,1602652711
Abalak,58.13,68.59,45.68,83,97,9.6,RU,1602652711
Souillac,-20.52,57.52,78.8,69,40,8.05,MU,1602652711
Laurel,39.1,-76.85,54.0,93,1,7.83,US,1602652499
Jalu,29.03,21.55,66.78,64,71,10.02,LY,1602652712
Port Hardy,50.7,-127.42,48.2,93,90,8.05,CA,1602652712
Provideniya,64.38,-173.3,32.0,91,75,2.51,RU,1602652712
Dongsheng,39.82,109.98,52.41,39,0,17.56,CN,1602652712
Marrakesh,31.63,-8.01,57.2,67,0,3.36,MA,1602652713
Hong Kong,22.29,114.16,80.01,77,100,4.0,HK,1602652658
Sørland,67.67,12.69,42.8,93,75,4.7,NO,1602652713
Great Falls,47.5,-111.3,46.99,65,1,16.11,US,1602652713
Venado Tuerto,-33.75,-61.97,57.0,79,39,3.0,AR,1602652714
Presidente Médici,-11.18,-61.9,72.43,94,100,1.25,BR,1602652714
Bethel,41.37,-73.41,51.8,81,1,4.7,US,1602652714
La Ronge,55.1,-105.28,28.4,58,90,14.99,CA,1602652714
Kaitangata,-46.28,169.85,43.0,73,91,10.0,NZ,1602652714
Itacoatiara,-3.14,-58.44,73.98,93,76,2.08,BR,1602652715
Emba,48.83,58.14,58.84,31,0,2.1,KZ,1602652715
Qaanaaq,77.48,-69.36,23.4,77,8,8.1,GL,1602652715
San Vicente,-26.62,-54.13,60.39,59,0,3.04,AR,1602652557
Yellowknife,62.46,-114.35,25.0,62,90,20.8,CA,1602652602
Carballo,43.21,-8.69,51.8,100,75,3.36,ES,1602652716
Coquimbo,-29.95,-71.34,53.6,87,90,2.24,CL,1602652716
Port Lincoln,-34.73,135.87,80.69,31,21,14.76,AU,1602652716
Vinukonda,16.05,79.75,83.19,69,92,8.72,IN,1602652716
Rodolfo Sánchez Taboada,31.72,-116.57,71.01,59,0,1.01,MX,1602652717
Turhal,40.39,36.08,50.0,61,0,1.12,TR,1602652717
Susanville,40.42,-120.65,66.2,37,1,10.29,US,1602652717
Saldanha,-33.01,17.94,44.6,81,0,3.36,ZA,1602652717
Nanga Eboko,4.68,12.37,68.4,96,100,2.66,CM,1602652718
Sulangan,11.14,123.72,80.49,81,100,13.89,PH,1602652718
Thompson,55.74,-97.86,30.2,80,20,13.87,CA,1602652718
Dalbandin,28.89,64.41,65.95,22,0,10.42,PK,1602652718
Puerto Baquerizo Moreno,-0.9,-89.6,67.69,90,26,5.26,EC,1602652718
Puerto Ayora,-0.74,-90.35,68.07,88,52,4.16,EC,1602652719
Corinth,37.94,22.96,62.01,63,0,1.99,GR,1602652719
Xichang,27.9,102.26,71.01,55,93,4.34,CN,1602652719
Dikson,73.51,80.55,31.62,91,100,12.41,RU,1602652719
Ratnagiri,16.98,73.3,78.64,84,100,8.37,IN,1602652720
Maniitsoq,65.42,-52.9,37.33,95,100,7.94,GL,1602652720
Stromness,58.97,-3.3,48.2,81,29,9.17,GB,1602652720
San Patricio,28.02,-97.52,77.0,88,20,6.93,US,1602652720
Havelock,34.88,-76.9,70.0,83,40,4.7,US,1602652720
Xining,36.62,101.77,42.91,60,89,1.97,CN,1602652721
Diapaga,12.07,1.79,77.45,75,43,7.99,BF,1602652721
Basco,20.45,121.97,81.88,77,97,23.98,PH,1602652721
Mount Isa,-20.73,139.5,93.2,24,23,9.17,AU,1602652433
Severo-Kuril'sk,50.68,156.12,52.03,89,72,9.6,RU,1602652722
Pirot,43.15,22.59,50.0,10,81,1.57,RS,1602652722
Port Blair,11.67,92.75,83.5,78,90,18.12,IN,1602652561
Preobrazheniye,42.9,133.91,47.82,49,0,12.71,RU,1602652722
Konde,-4.95,39.75,81.63,72,31,9.31,TZ,1602652722
Tura,25.52,90.22,87.35,63,0,2.19,IN,1602652723
Karratha,-20.74,116.85,99.23,17,0,16.84,AU,1602652723
Nemuro,43.32,145.57,60.8,44,75,14.99,JP,1602652723
Ojinaga,29.57,-104.42,77.0,25,1,6.93,MX,1602652723
Vila do Maio,15.13,-23.22,78.8,78,75,11.41,CV,1602652724
Guerrero Negro,27.98,-114.06,79.45,57,100,14.32,MX,1602652724
Caravelas,-17.71,-39.25,72.66,95,28,2.84,BR,1602652724
Pisco,-13.7,-76.22,62.6,82,0,11.41,PE,1602652724
Pampa,35.54,-100.96,57.2,28,1,11.41,US,1602652616
Torbay,47.67,-52.73,42.01,86,20,9.17,CA,1602652725
Goderich,43.75,-81.72,57.99,53,81,1.01,CA,1602652725
Matagami,49.75,-77.63,39.2,100,1,8.05,CA,1602652725
Upernavik,72.79,-56.15,27.91,92,99,5.93,GL,1602652725
Khatanga,71.97,102.5,19.96,95,96,12.55,RU,1602652726
Tuktoyaktuk,69.45,-133.04,23.0,62,90,11.41,CA,1602652726
Port Alfred,-33.59,26.89,57.38,72,8,11.07,ZA,1602652726
Kavieng,-2.57,150.8,82.27,76,100,7.16,PG,1602652726
Partizanskoye,55.5,94.39,36.95,87,100,11.12,RU,1602652726
Izumo,35.37,132.77,69.8,52,40,10.29,JP,1602652727
Broome,42.25,-75.83,44.6,81,1,5.82,US,1602652727
Tromsø,69.65,18.96,41.0,80,75,25.28,NO,1602652727
Zeya,53.75,127.27,32.43,78,38,9.53,RU,1602652685
Gao,16.64,1.64,85.71,19,76,4.41,ML,1602652727
Bonthe,7.53,-12.51,74.25,93,97,5.46,SL,1602652728
Nador,35.17,-2.93,69.8,46,0,6.93,MA,1602652728
Lakes Entrance,-37.88,147.98,66.99,71,39,5.01,AU,1602652729
Cairns,-16.92,145.77,82.4,51,40,20.8,AU,1602652635
Foumban,5.73,10.9,62.42,100,87,1.68,CM,1602652729
Yantongshan,43.29,126.01,41.49,57,0,11.99,CN,1602652729
Mattawa,46.74,-119.9,55.4,45,1,10.29,US,1602652452
Fort-Shevchenko,44.51,50.26,61.66,31,0,22.17,KZ,1602652730
Mbandaka,0.05,18.26,71.28,94,16,1.61,CD,1602652730
Ponta do Sol,32.67,-17.1,69.8,68,40,13.87,PT,1602652730
Saskylakh,71.92,114.08,12.72,94,1,3.04,RU,1602652730
Batticaloa,7.71,81.69,90.23,48,100,10.36,LK,1602652731
Longyearbyen,78.22,15.64,35.6,69,75,24.16,SJ,1602652731
Kahului,20.89,-156.47,82.4,54,40,10.29,US,1602652731
Berlevåg,70.86,29.09,37.4,86,40,16.11,NO,1602652731
Kharp,66.8,65.81,33.26,87,68,8.52,RU,1602652731
Nālūt,30.33,10.85,54.63,52,0,10.13,LY,1602652732
Esperance,-33.87,121.9,78.8,50,0,19.46,AU,1602652732
Lander,42.83,-108.73,62.6,27,1,3.04,US,1602652452
Djambala,-2.54,14.75,67.55,99,91,2.91,CG,1602652732
Mackenzie,55.3,-123.17,28.4,92,1,2.24,CA,1602652733
Kroya,-7.63,109.25,75.0,63,42,9.22,ID,1602652733
Nhulunbuy,-12.23,136.77,87.8,58,75,13.87,AU,1602652733
Leningradskiy,69.38,178.42,21.24,88,0,10.96,RU,1602652733
Iqaluit,63.75,-68.51,30.2,80,20,13.87,CA,1602652733
Chokurdakh,70.63,147.92,17.89,95,56,2.57,RU,1602652734
Pemba,-12.97,40.52,77.43,72,0,12.77,MZ,1602652734
Agía Galíni,35.1,24.68,66.0,82,2,6.33,GR,1602652734
Pimentel,-6.84,-79.93,61.93,90,23,8.93,PE,1602652734
Cherskiy,68.75,161.3,33.93,89,99,15.68,RU,1602652735
Meulaboh,4.14,96.13,88.3,54,54,5.66,ID,1602652735
Moosburg,48.47,11.93,41.0,93,40,6.93,DE,1602652735
Henties Bay,-22.12,14.28,55.0,92,0,1.99,NA,1602652735
Lompoc,34.64,-120.46,60.8,87,1,3.36,US,1602652735
Necochea,-38.55,-58.74,55.0,93,25,8.99,AR,1602652736
Peçanha,-18.55,-42.56,66.56,97,92,4.83,BR,1602652736
Alugan,12.22,125.48,85.8,71,100,11.74,PH,1602652736
Nouadhibou,20.93,-17.03,75.2,78,1,6.93,MR,1602652736
Slave Lake,55.28,-114.77,32.0,86,75,2.24,CA,1602652737
Zavet,43.77,26.67,48.15,70,31,4.09,BG,1602652737
East London,-33.02,27.91,59.0,62,18,9.17,ZA,1602652507
Yangi Marg`ilon,40.43,71.72,57.2,58,0,2.24,UZ,1602652737
Okakarara,-20.58,17.43,63.27,33,0,6.76,NA,1602652737
Faya,18.39,42.45,57.2,37,0,2.93,SA,1602652738
Baykit,61.67,96.37,30.42,92,80,4.99,RU,1602652738
Auchi,7.07,6.27,71.82,98,100,1.41,NG,1602652738
Verkh-Usugli,52.7,115.17,31.46,75,24,7.23,RU,1602652738
Grand Gaube,-20.01,57.66,79.0,69,0,8.99,MU,1602652739
Polewali,-3.43,119.34,88.86,57,73,4.74,ID,1602652658
Kadnikov,59.5,40.34,45.59,86,100,7.29,RU,1602652739
Tiznit Province,29.58,-9.5,60.93,35,0,1.68,MA,1602652739
Kamaishi,39.27,141.88,66.2,42,20,6.93,JP,1602652610
Oktyabr'skoye,43.06,44.74,48.2,87,18,2.24,RU,1602652740
Faanui,-16.48,-151.75,79.25,73,35,10.07,PF,1602652740
City of San Pedro,14.35,121.02,78.8,88,90,3.36,PH,1602652740
Saint-François,46.42,3.91,46.99,99,99,0.87,FR,1602652741
Novi Bilokorovychi,51.12,28.05,55.58,93,77,7.16,UA,1602652741
Nelson,-41.28,173.28,57.0,58,99,4.0,NZ,1602652741
Roald,62.58,6.13,41.0,93,40,3.36,NO,1602652741
Ust'-Omchug,61.15,149.63,34.95,91,100,3.44,RU,1602652742
Saint-Pierre,-21.34,55.48,80.01,65,75,4.7,RE,1602652742
Ozinki,51.18,49.68,53.37,36,91,11.65,RU,1602652742
Alta Floresta,-9.88,-56.09,71.47,83,31,2.04,BR,1602652742
Krasnoshchekovo,51.67,82.73,47.37,67,65,4.72,RU,1602652743
Na Klang,17.31,102.19,91.99,62,40,8.05,TH,1602652743
Cabo San Lucas,22.89,-109.91,77.0,91,100,1.99,MX,1602652743
Richards Bay,-28.78,32.04,66.6,72,96,7.45,ZA,1602652743
Pachino,36.72,15.09,55.99,93,0,3.36,IT,1602652744
Kaka,37.35,59.61,65.14,24,0,3.98,TM,1602652744
Kupang,-10.17,123.58,95.0,34,20,21.92,ID,1602652453
Atambua,-9.11,124.89,88.39,42,9,1.03,ID,1602652744
Livádi,40.12,22.15,59.0,93,40,5.82,GR,1602652744
Narasannapeta,18.42,84.05,78.57,90,100,7.0,IN,1602652745
Constitución,-35.33,-72.42,54.34,78,0,6.38,CL,1602652745
Bathsheba,13.22,-59.52,77.0,88,20,3.36,BB,1602652745
Lakatoro,-16.1,167.42,78.8,88,75,3.36,VU,1602652745
Zhezkazgan,47.8,67.71,55.92,45,8,4.07,KZ,1602652746
Vao,-22.67,167.48,74.73,79,0,3.56,NC,1602652746
Santa Isabel Rio Negro,-0.41,-65.02,74.28,85,32,1.83,BR,1602652746
Agüimes,27.91,-15.45,75.0,83,40,8.05,ES,1602652746
Karasjok,69.47,25.51,39.2,64,75,20.8,NO,1602652747
Acapulco de Juárez,16.86,-99.89,79.84,78,13,4.41,MX,1602652747
Racine,42.75,-88.08,45.0,75,1,6.76,US,1602652747
Auki,-8.77,160.7,84.31,65,93,3.71,SB,1602652747
Lesnoye,58.28,35.52,45.32,86,100,7.0,RU,1602652748
Zyryanka,65.75,150.85,37.78,75,89,2.26,RU,1602652748
